PARENT_3_CATEGORY,PARENT_4_CATEGORY,PARENT_5_CATEGORY,COUNT_LISTINGS
Chemistry and Materials,Physical Analysis Methods,Color Matching,96
Chemistry and Materials,Physical Analysis Methods,Colorimetry,30
Chemistry and Materials,Physical Analysis Methods,Electrochemical Quartz Crystal Microbalance (EQCM) Mass Measurement,51
Chemistry and Materials,Physical Analysis Methods,Flexural Testing,26
Chemistry and Materials,Physical Analysis Methods,Fluid Analysis,41
Chemistry and Materials,Physical Analysis Methods,Freeze-Thaw Testing,36
Chemistry and Materials,Physical Analysis Methods,Friction Testing,7
Chemistry and Materials,Physical Analysis Methods,Mass Balance Analysis,38
Chemistry and Materials,Physical Analysis Methods,Mass and Weight Analysis,519
Chemistry and Materials,Physical Analysis Methods,Measuring and Testing Technology,157
Chemistry and Materials,Physical Analysis Methods,Mercury Intrusion Porosimetry,19
Chemistry and Materials,Physical Analysis Methods,Metallurgical Analysis,152
Chemistry and Materials,Physical Analysis Methods,Microflow Imaging,22
Chemistry and Materials,Physical Analysis Methods,Microgravity Experiments,107
Chemistry and Materials,Physical Analysis Methods,Object Characterization,124
Chemistry and Materials,Physical Analysis Methods,Particle Analysis and Characterization,3
Chemistry and Materials,Physical Analysis Methods,Particle Size Distribution,26
Chemistry and Materials,Physical Analysis Methods,Porosity/Porosimetry Analysis,110
Chemistry and Materials,Physical Analysis Methods,Sorption Analysis,1
Chemistry and Materials,Physical Analysis Methods,Strength Analysis,407
Chemistry and Materials,Physical Analysis Methods,Supersaturation Measurement,2
Chemistry and Materials,Physical Analysis Methods,Surface Tension Measurement,189
Chemistry and Materials,Physical Analysis Methods,Synchrotron Services,2
Chemistry and Materials,Physical Analysis Methods,Thermal Analysis Services,1741
Chemistry and Materials,Physical Analysis Methods,Thermal Hazard Assessment,93
Chemistry and Materials,Radiochemistry,Radioisotope Production,1
Chemistry and Materials,Radiochemistry,Radiolabeling/Radiosynthesis,6
Chemistry and Materials,Radiochemistry,Radionuclide Specific Activity Measurement,7
Chemistry and Materials,Radiochemistry,Radiotracers and Radiopharmaceuticals,23
Chemistry and Materials,Radiochemistry,,10
Chemistry and Materials,Synthetic Chemistry,Bioorganic Synthesis,314
Chemistry and Materials,Synthetic Chemistry,Chemical Process Consulting,1
Chemistry and Materials,Synthetic Chemistry,Chemical Synthesis,732
Chemistry and Materials,Synthetic Chemistry,Combinatorial Chemistry,257
Chemistry and Materials,Synthetic Chemistry,Flow Chemistry,268
Chemistry and Materials,Synthetic Chemistry,High Throughput Experimentation,8
Chemistry and Materials,Synthetic Chemistry,Impurity Synthesis,6
Chemistry and Materials,Synthetic Chemistry,Microwave-Assisted Synthesis,11
Chemistry and Materials,Synthetic Chemistry,Peptide Synthesis,3815
Chemistry and Materials,Synthetic Chemistry,Photochemical Synthesis,212
Chemistry and Materials,Synthetic Chemistry,Process and Scale-Down Chemistry,20
Chemistry and Materials,Synthetic Chemistry,Process and Scale-Up Chemistry,57
Chemistry and Materials,Synthetic Chemistry,Retrosynthetic Analysis and Synthetic Route Design,8
Chemistry and Materials,Synthetic Chemistry,Specialty and Fine Chemicals,542
Chemistry and Materials,Synthetic Chemistry,Total Synthesis of Natural Products,1
Chemistry and Materials,Synthetic Chemistry,,1477
Chemistry and Materials,,,4843600
Clinical Research,Clinical Ancillary and Sample Services,Clinical Ancillary Management,1
Clinical Research,Clinical Ancillary and Sample Services,Clinical Sample Acquisition,14
Clinical Research,Clinical Ancillary and Sample Services,Clinical Sample Analysis,1
Clinical Research,Clinical Ancillary and Sample Services,Clinical Sample Kits,921
Clinical Research,Clinical Ancillary and Sample Services,Clinical Sample Processing,2
Clinical Research,Clinical Ancillary and Sample Services,,7
Clinical Research,"Clinical Data Collection, Analysis and Management",Clinical Case Report Form Design,5
Clinical Research,"Clinical Data Collection, Analysis and Management",Clinical Claims Data,3
Clinical Research,"Clinical Data Collection, Analysis and Management",Clinical Data Management,9
Clinical Research,"Clinical Data Collection, Analysis and Management",Clinical Electronic Data Capture (EDC),11
Clinical Research,"Clinical Data Collection, Analysis and Management",Clinical IRT Systems,10
Clinical Research,"Clinical Data Collection, Analysis and Management",Clinical Modeling,1
Clinical Research,"Clinical Data Collection, Analysis and Management",EHR/EMR Integration,4
Clinical Research,"Clinical Data Collection, Analysis and Management",Infection Tracking,8
Clinical Research,"Clinical Data Collection, Analysis and Management",Medical Terminology Mapping,1
Clinical Research,Clinical Drug Management,Clinical Supply Chain Management and Logistics,6
Clinical Research,Clinical Drug Management,Drug Storage,96
Clinical Research,Clinical Drug Management,,2
Clinical Research,Clinical Laboratory Services,Basic Renal Panel,45
Clinical Research,Clinical Laboratory Services,COVID 19 Testing,76
Clinical Research,Clinical Laboratory Services,Central Lab Services,10
Clinical Research,Clinical Laboratory Services,Clinical Chemistry,15896
Clinical Research,Clinical Laboratory Services,Clinical Endocrinology Tests,998
Clinical Research,Clinical Laboratory Services,Clinical Flow Cytometry,55
Clinical Research,Clinical Laboratory Services,Clinical Hematology,3697
Clinical Research,Clinical Laboratory Services,Clinical Immunology Tests,3165
Clinical Research,Clinical Laboratory Services,"Clinical Microbiology, Virology and Parasitology",1538
Clinical Research,Clinical Laboratory Services,Clinical Molecular Diagnostics,3209
Clinical Research,Clinical Laboratory Services,Clinical Pharmacology,178
Clinical Research,Clinical Laboratory Services,Clinical and Anatomic Pathology,1855
Clinical Research,Clinical Laboratory Services,Comprehensive Liver Panel,44
Clinical Research,Clinical Laboratory Services,Comprehensive Panel,51
Clinical Research,Clinical Laboratory Services,Comprehensive Renal Panel,11
Clinical Research,Clinical Laboratory Services,Diagnostic Kit Validation,11
Clinical Research,Clinical Laboratory Services,Liver/Lipid Panel,16
Clinical Research,Clinical Laboratory Services,Project Liver Panel,30
Clinical Research,Clinical Laboratory Services,,21
Clinical Research,"Clinical Trials, Consulting, and Management",Clinical Cardiac Safety and QT Studies,12
Clinical Research,"Clinical Trials, Consulting, and Management",Clinical PK/PD Studies,4
Clinical Research,"Clinical Trials, Consulting, and Management",Clinical PK/PD Study Design,2
Clinical Research,"Clinical Trials, Consulting, and Management",Clinical Quality Monitoring,2
Clinical Research,"Clinical Trials, Consulting, and Management",Clinical Staffing Services,5
Clinical Research,"Clinical Trials, Consulting, and Management",Clinical Trial Design and Consulting,1
Clinical Research,"Clinical Trials, Consulting, and Management",Clinical Trial Documentation Support,5
Clinical Research,"Clinical Trials, Consulting, and Management",Clinical Trial Management Systems (CTMS),1
Clinical Research,"Clinical Trials, Consulting, and Management",Clinical Trial Mobile Application Development,2
Clinical Research,"Clinical Trials, Consulting, and Management",Clinical Trial Monitoring,5
Clinical Research,"Clinical Trials, Consulting, and Management",Medical Affairs,14
Clinical Research,"Clinical Trials, Consulting, and Management",Medical Device Clinical Trials,7
Clinical Research,"Clinical Trials, Consulting, and Management",Pass Through Expenses,1
Clinical Research,"Clinical Trials, Consulting, and Management",Patient Assessments,50
Clinical Research,"Clinical Trials, Consulting, and Management",Patient Recruitment,2
Clinical Research,"Clinical Trials, Consulting, and Management",Patient Retention,31
Clinical Research,"Clinical Trials, Consulting, and Management",Phase I Clinical Trials,4
Clinical Research,"Clinical Trials, Consulting, and Management",Phase II Clinical Trials,10
Clinical Research,"Clinical Trials, Consulting, and Management",Phase III Clinical Trials,5
Clinical Research,"Clinical Trials, Consulting, and Management",Protocol Amendments and Regulatory Maintenance,30
Clinical Research,"Clinical Trials, Consulting, and Management",Regulatory Affairs,1
Clinical Research,"Clinical Trials, Consulting, and Management",Specialty Services and Fees,51
Clinical Research,"Clinical Trials, Consulting, and Management",Virtual Clinical Trials,1
Clinical Research,Clinical Validation Services,Clinical Validation of In Vitro Diagnostics/Companion Diagnostics,7
Clinical Research,Clinical Validation Services,,4
Clinical Research,Electronic Patient Reported Outcomes,,3
Clinical Research,"Epidemiology, Healthcare, and Post-Authorization Studies","Health, Nutrition, and Lifestyle Surveys",4
Clinical Research,"Epidemiology, Healthcare, and Post-Authorization Studies",Healthcare Research and Analytics,2
Clinical Research,"Epidemiology, Healthcare, and Post-Authorization Studies",Molecular Epidemiology Studies,6
Clinical Research,"Epidemiology, Healthcare, and Post-Authorization Studies",Pharmacoepidemiological Studies,37
Clinical Research,"Epidemiology, Healthcare, and Post-Authorization Studies",Pharmacovigilance and Post-Authorization Safety Studies (PASS),26
Clinical Research,"Epidemiology, Healthcare, and Post-Authorization Studies",Quality of Life Measurement and Analysis,5
Clinical Research,Medical Imaging Services,Clinical Angiography,37
Clinical Research,Medical Imaging Services,Clinical BOLD-MRI,6
Clinical Research,Medical Imaging Services,Clinical Bone Scan,30
Clinical Research,Medical Imaging Services,Clinical Cerebral Blood Flow Measurement,35
Clinical Research,Medical Imaging Services,Clinical Dual Energy X-ray Absorptiometry (DEXA) Scanning,2
Clinical Research,Medical Imaging Services,Clinical Electrocardiography,46
Clinical Research,Medical Imaging Services,Clinical Electroencephalography (EEG),53
Clinical Research,Medical Imaging Services,Clinical Electromyography,38
Clinical Research,Medical Imaging Services,Clinical Fluorescence Mediated Tomography,4
Clinical Research,Medical Imaging Services,Clinical Intravascular Ultrasound,7
Clinical Research,Medical Imaging Services,Clinical Magnetoencephalography,2
Clinical Research,Medical Imaging Services,Clinical Positron Emission Tomography,1
Clinical Research,Medical Imaging Services,Clinical SPECT Scanning,36
Clinical Research,Medical Imaging Services,Clinical Transcranial Direct Current Stimulation,1
Clinical Research,Medical Imaging Services,Clinical Transcranial Magnetic Stimulation (TMS),4
Clinical Research,Medical Imaging Services,Clinical Ultrasonography,3
Clinical Research,Medical Imaging Services,Electrocardiography Data Analysis,39
Clinical Research,Medical Imaging Services,Gadolinium Contrast Agent,8
Clinical Research,Medical Imaging Services,Human Plethysmography,8
Clinical Research,Medical Imaging Services,MRI Data Analysis,2
Clinical Research,Medical Imaging Services,Magnetoencephalography Data Analysis,10
Clinical Research,Medical Imaging Services,,6
Clinical Research,Mobile Health Solutions,,18
Clinical Research,Outpatient Assessments,ALS Scoring,2
Clinical Research,Outpatient Assessments,Blood Pressure Measurement,66
Clinical Research,Outpatient Assessments,Body Composition Assessment,29
Clinical Research,Outpatient Assessments,Bone Mineral Density Testing,1
Clinical Research,Outpatient Assessments,Bronchoalveolar Lavage,1
Clinical Research,Outpatient Assessments,Clinical Glucose Clamp Studies,45
Clinical Research,Outpatient Assessments,Diet Assessment,4
Clinical Research,Outpatient Assessments,Digital Cognitive Screening,1
Clinical Research,Outpatient Assessments,Human Biomechanical Analysis,54
Clinical Research,Outpatient Assessments,ImPACT Testing,1
Clinical Research,Outpatient Assessments,Patient Simulation,3
Clinical Research,Outpatient Assessments,Physical Activity Assessment,63
Clinical Research,Outpatient Assessments,,11
Clinical Research,Patient Engagement Services,,6
Clinical Research,Patient Engagement Training,,29
Clinical Research,,,4
Compounds,Chemicals,,276949
Compounds,Chemicals And Raw Materials,(1 H -Benzoimidazol-2-yl)-acetic acid,4420
Compounds,Chemicals And Raw Materials,(2-Methoxyphenyl)(piperazin-1-yl)methanone,4822
Compounds,Chemicals And Raw Materials,"(2R,4S)-1-((Benzyloxy)carbonyl)-4-isopropyl-2-methylpiperidine-2-carboxylic acid",18882
Compounds,Chemicals And Raw Materials,"(2R,4S)-1-(tert-Butoxycarbonyl)-4-phenylpiperidine-2-carboxylic acid",18247
Compounds,Chemicals And Raw Materials,"(2R,4S)-cis-4-(2-Propyl)-1,2-Piperidinedicarboxylic acid, 1-(phenylmethyl) ester",5169
Compounds,Chemicals And Raw Materials,"(2R,4S)-cis-4-Phenyl-piperidine-1,2-dicarboxylic acid, 1-tert-butyl ester",2437
Compounds,Chemicals And Raw Materials,"(2S, 5R)-5-Hydroxypipecolic Acid",2117
Compounds,Chemicals And Raw Materials,"(2S, 5S)-5-Hydroxypipecolic Acid",260
Compounds,Chemicals And Raw Materials,"(3-Bromopropoxy)-t-butyl-1-dimethyl silane, with Na2CO3 as stabilizer.",3930
Compounds,Chemicals And Raw Materials,(R) - Albuterol (Levalbuterol),190
Compounds,Chemicals And Raw Materials,(R) - Desethyl Oxybutynin - d5,630
Compounds,Chemicals And Raw Materials,(R) - Desethyl Oxybutynin Hydrochloride,335
Compounds,Chemicals And Raw Materials,(R) - Oxybutynin - d10,138
Compounds,Chemicals And Raw Materials,(R) Lercandipine,53
Compounds,Chemicals And Raw Materials,"(R,S) - Desethyl Oxybutynin",13
Compounds,Chemicals And Raw Materials,"(R,S) - Desethyl Oxybutynin - d5",94
Compounds,Chemicals And Raw Materials,"(R,S) - Oxybutynin - d10",130
Compounds,Chemicals And Raw Materials,"(R,S) - Oxybutynin Hydrochloride",119
Compounds,Chemicals And Raw Materials,(S) Lercandipine,3
Compounds,Chemicals And Raw Materials,"(S,S)-Palonosetron Hydrochloride",112
Compounds,Chemicals And Raw Materials,"(S,S)-Palonosetron Hydrochloride - d4",136
Compounds,Chemicals And Raw Materials,"(s)-Aromatic Alcohol Dehydrogenase, NADP-dependent",369
Compounds,Chemicals And Raw Materials,"1,2,4-Triazole - 13C2, 15N",1034
Compounds,Chemicals And Raw Materials,"1,3,5(10)-Estratrien-3,16,17-triol - d3",187
Compounds,Chemicals And Raw Materials,"1,3-Butadiene, 2-(bromomethyl",1580
Compounds,Chemicals And Raw Materials,1- (6- Fluoropyridin- 2- yl) piperidin- 4- one,13983
Compounds,Chemicals And Raw Materials,1- Pyridin- 2- ylpiperidin- 4- ol,977
Compounds,Chemicals And Raw Materials,1-(2-Aminobenzimidazol-1-yl)-3-phenylpropan-1-one,12168
Compounds,Chemicals And Raw Materials,1-(5-Methylpyridin-2-yl)piperidin-4-ol,41053
Compounds,Chemicals And Raw Materials,1-Benzyl-4-propylpiperazine,743
Compounds,Chemicals And Raw Materials,"1-Pentene, 2-(bromomethyl)",1012
Compounds,Chemicals And Raw Materials,1H-Imidazol-2-yl(pyridin-4-yl)methanone,3184
Compounds,Chemicals And Raw Materials,"2,4,6-Trichloro-5-ethylpyrimidine",5679
Compounds,Chemicals And Raw Materials,"2,4,6-Trichloro-5-propylpyrimidine",1480
Compounds,Chemicals And Raw Materials,2-(1H-Benzimidazol-2-yl)ethanamine,1646
Compounds,Chemicals And Raw Materials,"2-(2,4-Dichlorophenoxy)-N-(3-imidazol-1-ylpropyl)acetamide hydrochloride",8435
Compounds,Chemicals And Raw Materials,"2-(3,4-Difluoro-benzenesulfonylamino)-benzoic acid",3280
Compounds,Chemicals And Raw Materials,2-(4-((4-chlorophenyl)(phenyl)methyl)piperazin-1-yl)ethanamine,17417
Compounds,Chemicals And Raw Materials,2-(4-Benzylpiperazin-1-yl)ethanamine,2381
Compounds,Chemicals And Raw Materials,2-(4-Fluoro-benzenesulfonylamino)-3-hydroxy-propionic acid,10239
Compounds,Chemicals And Raw Materials,2-(4-Methoxyphenyl)-1H-benzimidazole,7971
Compounds,Chemicals And Raw Materials,2-(4-Pyridinyl)-1H-benzimidazole,7369
Compounds,Chemicals And Raw Materials,2-(Propan-2-yl)-1H-imidazole,1343
Compounds,Chemicals And Raw Materials,2-(bromomethyl)but-1-ene,748
Compounds,Chemicals And Raw Materials,2-Bromo-3-Fluoropyridine,2497
Compounds,Chemicals And Raw Materials,"2-Chloro-4,5-difluorobenzenesulphonamide",5997
Compounds,Chemicals And Raw Materials,2-Hydroxy-17-Estradiol-3-Methyl Ether - d3,2209
Compounds,Chemicals And Raw Materials,2-Hydroxyestrone-3-Methyl Ether - d3,492
Compounds,Chemicals And Raw Materials,"2-Phenyl-2,10-dihydropyrimido[1,2-a]benzimidazol-4(3H)-one",643
Compounds,Chemicals And Raw Materials,2-Piperidinonicotinic acid,597
Compounds,Chemicals And Raw Materials,2-alpha-Dihydrotetrabenazine - d7,1636
Compounds,Chemicals And Raw Materials,2-beta-Dihydrotetrabenazine - d7,1068
Compounds,Chemicals And Raw Materials,2-t-Butyloxycarbonyloxyimino-2-phenyl acetonitrile (Boc-ON),9843
Compounds,Chemicals And Raw Materials,"3,4-Dihydroxyphenylethylene Glycol - d3",489
Compounds,Chemicals And Raw Materials,"3,4-Dihydroxyphenylethylene Glycol - d5",2943
Compounds,Chemicals And Raw Materials,"3-(3,4-Dimethoxyphenyl)-1H-pyrazole-5-carboxylic acid",4080
Compounds,Chemicals And Raw Materials,3-(3-Methoxyphenyl)-1H-pyrazole-5-carboxylic acid,906
Compounds,Chemicals And Raw Materials,3-(4-Ethoxyphenyl)-1H-pyrazole-5-carboxylic acid,2961
Compounds,Chemicals And Raw Materials,"3-(Diethoxy-phosphoryloxy)-3Hbenzo[d][1,2,3] triazin-4-one (DEPBT)",14609
Compounds,Chemicals And Raw Materials,3-Amino-4-pyrazolecarboxamide,1116
Compounds,Chemicals And Raw Materials,3-Benzyl-5-phenyl-1H-pyrazole,3146
Compounds,Chemicals And Raw Materials,3-Pyridin-4-yl-1H-indole,2719
Compounds,Chemicals And Raw Materials,"4,4'-Dimethoxytrityl chloride",1670
Compounds,Chemicals And Raw Materials,"4-(3,4-Difluoro-benzenesulfonylamino)-benzoic acid",2926
Compounds,Chemicals And Raw Materials,4-Bromo-1H-pyrazole-3-carboxylic acid hydrazide,1949
Compounds,Chemicals And Raw Materials,4-Fluoro-3- (3-trifluoromethyl-phenylsulfamoyl)-benzoic acid,10496
Compounds,Chemicals And Raw Materials,4-Hydroxy Clonidine,117
Compounds,Chemicals And Raw Materials,4-Hydroxy Clonidine Acetate - d4,229
Compounds,Chemicals And Raw Materials,4-Hydroxy-8-methylquinoline-3-carboxylic acid,2466
Compounds,Chemicals And Raw Materials,4-[(4-Fluoro-3-methylphenyl)sulfonyl]morpholine,2241
Compounds,Chemicals And Raw Materials,4-[4-(4-Fluorophenyl) piperazine-1-carbonyl]-1-(3-methylbutyl) pyrrolidin-2-one,11720
Compounds,Chemicals And Raw Materials,5 10-methylenetetrahydrofolate Dehydrogenase,292
Compounds,Chemicals And Raw Materials,5-Amino-N-(3-methylsulfanylphenyl)-1-(phenylmethyl) triazole-4-carboxamide,3471
Compounds,Chemicals And Raw Materials,5-Bromo-2-chloropyrimidine,1959
Compounds,Chemicals And Raw Materials,5-Bromo-2-fluoropyrimidine,7444
Compounds,Chemicals And Raw Materials,5-Bromo-2-methoxypyrimidine,6992
Compounds,Chemicals And Raw Materials,5-Bromopyrimidin-2-amine,3845
Compounds,Chemicals And Raw Materials,5-Chloro-8-hydroxy-7-iodoquinoline,2792
Compounds,Chemicals And Raw Materials,5-Chloroquinolin-8-amine,3502
Compounds,Chemicals And Raw Materials,5-Deoxy-5-Flurocytidine - 13C5,1712
Compounds,Chemicals And Raw Materials,5-Methyltetrahydrofolic acid Ca salt,1605
Compounds,Chemicals And Raw Materials,"6,6-Dibromo-2,2-bipyridine",1257
Compounds,Chemicals And Raw Materials,"6-((Pyrrolidin-1-yl)methylsulfonyl)-N,N-dimethylpyridin-2-amine",10775
Compounds,Chemicals And Raw Materials,6-Bromo-2-(3-isobutoxyphenyl)quinoline-4-carboxylic acid,4883
Compounds,Chemicals And Raw Materials,"6-Bromo-6-chloro-3,3-bipyridine",8001
Compounds,Chemicals And Raw Materials,6-Chloro-2-hydrazino-4-methylquinoline,8623
Compounds,Chemicals And Raw Materials,"6-Chloro-N,N-diethylpyrimidine-2,4-diamine",11579
Compounds,Chemicals And Raw Materials,"8-Chloro-[1,3]dioxolo[4,5-g]quinoline-7-carboxylic acid ethyl ester",1239
Compounds,Chemicals And Raw Materials,8-nitro-4-(1-pyrrolidinyl)quinoline,1885
Compounds,Chemicals And Raw Materials,9-Fluorenylmethanol,361
Compounds,Chemicals And Raw Materials,Abiraterone - d4,115
Compounds,Chemicals And Raw Materials,Abiraterone Acetate,263
Compounds,Chemicals And Raw Materials,Abiraterone Acetate - d4,244
Compounds,Chemicals And Raw Materials,Alcohol Derivatives,389
Compounds,Chemicals And Raw Materials,Aldehyde Derivatives,275
Compounds,Chemicals And Raw Materials,Alendronic Acid,256
Compounds,Chemicals And Raw Materials,Alendronic Acid - d6,557
Compounds,Chemicals And Raw Materials,Alkane Derivatives,69
Compounds,Chemicals And Raw Materials,Alkene Derivatives,16
Compounds,Chemicals And Raw Materials,Alkyne Derivatives,123
Compounds,Chemicals And Raw Materials,Alpha Lipoic acid-d5-racemic,468
Compounds,Chemicals And Raw Materials,Altretamine,105
Compounds,Chemicals And Raw Materials,Amisulpride,40
Compounds,Chemicals And Raw Materials,Amisulpride - d5,269
Compounds,Chemicals And Raw Materials,Analytical Reagents for USP Testing,114
Compounds,Chemicals And Raw Materials,BOP-Cl,42
Compounds,Chemicals And Raw Materials,Benzyl chloroformate (CBZ-Cl (Z-Cl)),7128
Compounds,Chemicals And Raw Materials,Betahistine-d3,67
Compounds,Chemicals And Raw Materials,Bethanechol Chloride - d6,9903
Compounds,Chemicals And Raw Materials,CBZ-OSu (Z-OSu),45
Compounds,Chemicals And Raw Materials,"Carbamic acid, (4-iodo-2-methoxy-3-pyridinyl)-, 1,1-dimethylethyl ester",10131
Compounds,Chemicals And Raw Materials,Carisoprodol-d3,107
Compounds,Chemicals And Raw Materials,Custom Allophycocyanin,20
Compounds,Chemicals And Raw Materials,Darifenacin-d4-HBr,153
Compounds,Chemicals And Raw Materials,Ester Derivatives,83
Compounds,Chemicals And Raw Materials,Ether Derivatives,1
Compounds,Chemicals And Raw Materials,Ethyl 3-methyl-1H-pyrazole-5-carboxylate,2900
Compounds,Chemicals And Raw Materials,Haloalkane Derivatives,69
Compounds,Chemicals And Raw Materials,Indole Derivatives,70
Compounds,Chemicals And Raw Materials,Ketone Derivatives,20
Compounds,Chemicals And Raw Materials,Kosher Certified Chemical Ingredients,1590
Compounds,Chemicals And Raw Materials,Methanethiol,143
Compounds,Chemicals And Raw Materials,"N,N-Dibenzylethylenediamine",15766
Compounds,Chemicals And Raw Materials,"N,N-Dimethyl(4-((piperazin-1-yl)methyl)phenyl)methanamine",3368
Compounds,Chemicals And Raw Materials,N-(1H-Benzimidazol-2-ylmethyl)acetamide,4135
Compounds,Chemicals And Raw Materials,N-(Furan-2-ylmethyl)-7H-purin-6-amine,2436
Compounds,Chemicals And Raw Materials,N-Mesityl-8-methoxyquinoline-5-sulfonamide,8415
Compounds,Chemicals And Raw Materials,N-Methyl(4-((4-methylpiperazin-1-yl)methyl)phenyl)methanamine,4732
Compounds,Chemicals And Raw Materials,N-Methyl-N-[4-(piperazin-1-ylmethyl)benzyl]methanesulfonamide,938
Compounds,Chemicals And Raw Materials,N-Pyridin-4-yl-1-quinolin-8-ylsulfonylpiperidine-3-carboxamide,2003
Compounds,Chemicals And Raw Materials,Paclitaxel - d5,70
Compounds,Chemicals And Raw Materials,Piperazine Derivatives,251
Compounds,Chemicals And Raw Materials,Piperidine Derivatives,187
Compounds,Chemicals And Raw Materials,Precursor Chemicals,85
Compounds,Chemicals And Raw Materials,Ritonavir - d6,86
Compounds,Chemicals And Raw Materials,Rotigotine-d7,99
Compounds,Chemicals And Raw Materials,Selenium Derivatives,156
Compounds,Chemicals And Raw Materials,Tizanidine-d4-HCl,714
Compounds,Chemicals And Raw Materials,USP-NF Grade Chemicals,4187
Compounds,Chemicals And Raw Materials,Ungraded Flavoring Ingredients,13
Compounds,Chemicals And Raw Materials,tert-Butyldimethylsilyl chloride,756
Compounds,Chemicals And Raw Materials,"{[(2,3,4-Trifluorophenyl) sulfonyl] amino} acetic acid",2076
Compounds,Chemicals And Raw Materials,,2749
Compounds,,,145
Computational Modeling,Biostatistics & Bioinformatics,Bioinformatics,1
Computational Modeling,Biostatistics & Bioinformatics,Bioinformatics Consulting,2
Computational Modeling,Biostatistics & Bioinformatics,Biometrics,10
Computational Modeling,Biostatistics & Bioinformatics,Chemoinformatics,8
Computational Modeling,Biostatistics & Bioinformatics,Immunoinformatics,4
Computational Modeling,Biostatistics & Bioinformatics,Prion Score,12
Computational Modeling,Biostatistics & Bioinformatics,Telomere Computational Analysis,2
Computational Modeling,Computational Chemistry,Computational Drug Target Identification,35
Computational Modeling,Computational Chemistry,Computational Peptide Design,11
Computational Modeling,Computational Chemistry,Computer Aided Drug Design,11
Computational Modeling,Computational Chemistry,Molecular Docking,2
Computational Modeling,Computational Chemistry,Molecular Dynamics Simulations,2
Computational Modeling,Computational Chemistry,Molecular Modeling,43
Computational Modeling,Computational Chemistry,Molecular Modeling Software,80
Computational Modeling,Computational Chemistry,PyMOL Molecular Visualization,6
Computational Modeling,Computational Chemistry,Structure Mining,2
Computational Modeling,Computational Chemistry,,325
Computational Modeling,Computational Consulting,Algorithm Development,5
Computational Modeling,Computational Consulting,Computer-Aided Design (CAD),15
Computational Modeling,Computational Consulting,PHRINGE Pipeline,7
Computational Modeling,Computational Consulting,,9
Computational Modeling,In silico Binding Assay,,482
Computational Modeling,Physics-Based & Engineering Modeling,Computational Fluid Dynamics (CFD),1
Computational Modeling,Physics-Based & Engineering Modeling,Computational Physics & AI Analysis,5
Computational Modeling,Physics-Based & Engineering Modeling,Finite Element Analysis (FEA),37
Computational Modeling,Predictive & AI-Based Modeling,Computational Toxicology,7
Computational Modeling,Predictive & AI-Based Modeling,,1
Computational Modeling,Structural and Molecular Modeling,3D Modeling,4
Computational Modeling,Structural and Molecular Modeling,In silico Antibody Humanization,56
Computational Modeling,Structural and Molecular Modeling,In silico Pharmacological Modeling,7
Computational Modeling,Structural and Molecular Modeling,In silico Protein Modification Analysis,18
Computational Modeling,Structural and Molecular Modeling,MHC Binding Prediction,8
Computational Modeling,Structural and Molecular Modeling,Receptor Binding Models,17
Computational Modeling,Structural and Molecular Modeling,,17
Computational Modeling,Systems Biology & Omics Modeling,In silico Genomics/Transcriptomics Analysis,3
Computational Modeling,Systems Biology & Omics Modeling,Phenotype-Genotype Modeling,1
Computational Modeling,Systems Biology & Omics Modeling,,2
Computational Modeling,Visualization & Image-Based Modeling,Volume Rendering,3
Computational Modeling,Visualization & Image-Based Modeling,,5
"Computer Science, Software Development, and IT Services",Cloud Computing,AI Voice Transcription,3
"Computer Science, Software Development, and IT Services",Cloud Computing,Speech Recognition API/ AI-Powered Transcription,1
"Computer Science, Software Development, and IT Services",Cloud Computing,eLearning Solutions,14
"Computer Science, Software Development, and IT Services",Computational Infrastructure Maintenance,DevOps Support,1
"Computer Science, Software Development, and IT Services",Computational Infrastructure Maintenance,Network Modernization,1
"Computer Science, Software Development, and IT Services",IT Consulting,Cloud Consulting,1
"Computer Science, Software Development, and IT Services",IT Consulting,Cybersecurity Consulting,1
"Computer Science, Software Development, and IT Services",Software Development,App Design,2
"Computer Science, Software Development, and IT Services",Software Development,MATLAB Programming,3
"Computer Science, Software Development, and IT Services",Software Development,Maple Programming,6
"Computer Science, Software Development, and IT Services",Software Development,Mobile Development,17
"Computer Science, Software Development, and IT Services",Software Development,Protein Studies Software,12
"Computer Science, Software Development, and IT Services",Software Development,Python Programming,4
"Computer Science, Software Development, and IT Services",Software Development,UI/UX Design,19
"Computer Science, Software Development, and IT Services",Software Development,,1
Data Services,Data Analysis,Data Inspection and Preparation,6
Data Services,Data Analysis,Data Visualization,6
Data Services,Data Analysis,Feature Selection,1
Data Services,Data Analysis,High Performance Computing,1
Data Services,Data Analysis,,225
Data Services,Data Management,Data Collection,1
Data Services,Data Management,Data Integration,1
Data Services,Data Management,Data Labeling,2
Data Services,Data Management,Data Storage,40
Data Services,Data Management,Data Transfer,11
Data Services,Data Management,Database Management Software,1
Data Services,Data Management,Database Systems,3
Data Services,Data Management,Electronic Lab Notebooks,301
Data Services,Data Management,HIPAA Compliant Cloud Storage,28
Data Services,Data Management,Laboratory Information Management Systems (LIMS),3
Data Services,Data Management,Serialization,4
Data Services,Data Management,,1
Data Services,,,2
Drug Discovery & Development,Drug Development,Antibody-Drug Conjugate (ADC) Analysis,117
Drug Discovery & Development,Drug Development,Antibody-Drug Conjugate (ADC) Development,154
